GitHubProject,NuGetPreview,Stars
"[OneGet/oneget](https://www.github.com/OneGet/oneget#readme)","[Preview](https://dev.nugettest.org/packages/loic.OneGet.oneget?preview=1#show-readme-container)",2287
"[dotnet-presentations/blazor-workshop](https://www.github.com/dotnet-presentations/blazor-workshop#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet-presentations.blazor-workshop?preview=1#show-readme-container)",2280
"[zeromq/netmq](https://www.github.com/zeromq/netmq#readme)","[Preview](https://dev.nugettest.org/packages/loic.zeromq.netmq?preview=1#show-readme-container)",2267
"[smartstore/SmartStoreNET](https://www.github.com/smartstore/SmartStoreNET#readme)","[Preview](https://dev.nugettest.org/packages/loic.smartstore.SmartStoreNET?preview=1#show-readme-container)",2260
"[Kinnara/ModernWpf](https://www.github.com/Kinnara/ModernWpf#readme)","[Preview](https://dev.nugettest.org/packages/loic.Kinnara.ModernWpf?preview=1#show-readme-container)",2237
"[wave-harmonic/crest](https://www.github.com/wave-harmonic/crest#readme)","[Preview](https://dev.nugettest.org/packages/loic.wave-harmonic.crest?preview=1#show-readme-container)",2227
"[neuecc/ZeroFormatter](https://www.github.com/neuecc/ZeroFormatter#readme)","[Preview](https://dev.nugettest.org/packages/loic.neuecc.ZeroFormatter?preview=1#show-readme-container)",2176
"[dotnet/command-line-api](https://www.github.com/dotnet/command-line-api#readme)","[Preview](https://dev.nugettest.org/packages/loic.dotnet.command-line-api?preview=1#show-readme-container)",2173
"[opentk/opentk](https://www.github.com/opentk/opentk#readme)","[Preview](https://dev.nugettest.org/packages/loic.opentk.opentk?preview=1#show-readme-container)",2137
"[coverlet-coverage/coverlet](https://www.github.com/coverlet-coverage/coverlet#readme)","[Preview](https://dev.nugettest.org/packages/loic.coverlet-coverage.coverlet?preview=1#show-readme-container)",2136
"[liangxiegame/QFramework](https://www.github.com/liangxiegame/QFramework#readme)","[Preview](https://dev.nugettest.org/packages/loic.liangxiegame.QFramework?preview=1#show-readme-container)",2123
"[mono/CppSharp](https://www.github.com/mono/CppSharp#readme)","[Preview](https://dev.nugettest.org/packages/loic.mono.CppSharp?preview=1#show-readme-container)",2120
"[Cysharp/UniTask](https://www.github.com/Cysharp/UniTask#readme)","[Preview](https://dev.nugettest.org/packages/loic.Cysharp.UniTask?preview=1#show-readme-container)",2118
"[JosefPihrt/Roslynator](https://www.github.com/JosefPihrt/Roslynator#readme)","[Preview](https://dev.nugettest.org/packages/loic.JosefPihrt.Roslynator?preview=1#show-readme-container)",2099
