Owner,Repository,Stars,CodeFenceKind
natemcmaster,LettuceEncrypt,1024,json
sourcechord,FluentWPF,1022,
sourcechord,FluentWPF,1022,xml
sourcechord,FluentWPF,1022,cs
mganss,HtmlSanitizer,1018,C#
thefuntastic,Unity3d-Finite-State-Machine,1011,C#
tomakita,Colorful.Console,1011,c#
microsoft,playwright-dotnet,1009,cs
simpleinjector,SimpleInjector,1007,c#
zhaopeiym,quartzui,1005,
alastairtree,LazyCache,1003,Powershell
alastairtree,LazyCache,1003,csharp
