Host,Owner,Repository,Stars
i.imgur.com,IgnaceMaes,MaterialSkin,2303
i.imgur.com,sqlkata,querybuilder,1964
i.imgur.com,Codeusa,SteamCleaner,1679
i.imgur.com,mellinoe,veldrid,1644
i.imgur.com,antonpup,Aurora,1598
i.imgur.com,kwsch,PKHeX,1593
i.imgur.com,keijiro,Klak,1399
i.imgur.com,BeardedManStudios,ForgeNetworkingRemastered,1387
i.imgur.com,Unity-Technologies,VolumetricLighting,1348
i.imgur.com,Belphemur,SoundSwitch,1323
i.imgur.com,Monnoroch,ColorHighlighter,1309
i.imgur.com,amaneureka,AtomOS,1241
i.imgur.com,hallatore,Netling,1212
i.imgur.com,keijiro,Voxelman,1156
i.imgur.com,keijiro,Kino,1141
i.imgur.com,Unity-Technologies,com.unity.multiplayer.mlapi,1093
i.imgur.com,SebLague,Path-Creator,1080
i.imgur.com,qmk,qmk_toolbox,1056
i.imgur.com,natemcmaster,LettuceEncrypt,1024
github-private.visualstudio.com,microsoft,PowerToys,57582
www.codefactor.io,PowerShell,PowerShell,27894
www.codefactor.io,ppy,osu,7541
www.codefactor.io,MvvmCross,MvvmCross,3554
www.codefactor.io,hardkoded,puppeteer-sharp,1968
www.codefactor.io,PiranhaCMS,piranha.core,1352
www.codefactor.io,zkSNACKs,WalletWasabi,1289
www.codefactor.io,VitalElement,AvalonStudio,1187
cloud.githubusercontent.com,chocolatey,choco,7589
cloud.githubusercontent.com,neuecc,UniRx,5236
cloud.githubusercontent.com,neuecc,MessagePack-CSharp,3458
cloud.githubusercontent.com,ExtendRealityLtd,VRTK,3367
cloud.githubusercontent.com,projectkudu,kudu,2782
cloud.githubusercontent.com,Ombi-app,Ombi,2565
cloud.githubusercontent.com,Cysharp,MagicOnion,2337
cloud.githubusercontent.com,neuecc,ZeroFormatter,2176
cloud.githubusercontent.com,IdentityServer,IdentityServer3,2040
cloud.githubusercontent.com,DotNetAnalyzers,StyleCopAnalyzers,1903
cloud.githubusercontent.com,NuGetPackageExplorer,NuGetPackageExplorer,1873
cloud.githubusercontent.com,MapsterMapper,Mapster,1694
cloud.githubusercontent.com,dotnet,wcf,1492
cloud.githubusercontent.com,rubberduck-vba,Rubberduck,1383
cloud.githubusercontent.com,gigya,microdot,1286
discordapp.com,files-community,Files,11561
discordapp.com,ppy,osu,7541
discordapp.com,dotnet,csharplang,7287
discordapp.com,HearthSim,Hearthstone-Deck-Tracker,4411
discordapp.com,opentk,opentk,2137
discordapp.com,ModernFlyouts-Community,ModernFlyouts,1678
cdn.rawgit.com,thangchung,awesome-dotnet-core,14884
cdn.rawgit.com,ThreeMammals,Ocelot,6374
cdn.rawgit.com,gitextensions,gitextensions,5749
cdn.rawgit.com,jasonhua95,awesome-dotnet-core,1083
powershell.visualstudio.com,PowerShell,PowerShell,27894
www.ko-fi.com,NickeManarin,ScreenToGif,14981
www.ko-fi.com,JasonStein,Notepads,4845
www.ko-fi.com,rocksdanister,lively,4564
devdiv.visualstudio.com,dotnet,maui,10751
devdiv.visualstudio.com,xamarin,Xamarin.Forms,5366
devdiv.visualstudio.com,microsoft,PTVS,2357
devdiv.visualstudio.com,microsoft,nodejstools,1769
mirrors.creativecommons.org,thangchung,awesome-dotnet-core,14884
mirrors.creativecommons.org,thangchung,clean-code-dotnet,4034
mirrors.creativecommons.org,jasonhua95,awesome-dotnet-core,1083
www.paypalobjects.com,carlospolop,PEASS-ng,5912
www.paypalobjects.com,accord-net,framework,4110
www.paypalobjects.com,xoofx,markdig,2536
www.paypalobjects.com,rlabrecque,Steamworks.NET,1733
www.paypalobjects.com,enkodellc,blazorboilerplate,1366
www.paypalobjects.com,Monnoroch,ColorHighlighter,1309
www.paypalobjects.com,asadsahi,AspNetCoreSpa,1256
www.paypalobjects.com,phw198,OutlookGoogleCalendarSync,1174
dnceng.visualstudio.com,dotnet,runtime,6614
dnceng.visualstudio.com,dotnet,wpf,5234
dnceng.visualstudio.com,dotnet,tye,3651
dnceng.visualstudio.com,dotnet,spark,1668
getsharex.com,ShareX,ShareX,16690
badges.crowdin.net,JustArchiNET,ArchiSteamFarm,6810
badges.crowdin.net,OrchardCMS,OrchardCore,5231
badges.crowdin.net,stnkl,EverythingToolbar,3162
badges.crowdin.net,PiranhaCMS,piranha.core,1352
www.gnu.org,QL-Win,QuickLook,9277
www.gnu.org,xupefei,Locale-Emulator,6194
d322cqt584bo4o.cloudfront.net,MathewSachin,Captura,6245
d322cqt584bo4o.cloudfront.net,d2phap,ImageGlass,2916
d322cqt584bo4o.cloudfront.net,bitwarden,mobile,2783
d322cqt584bo4o.cloudfront.net,Ombi-app,Ombi,2565
jenkins.mono-project.com,mono,mono,9399
jenkins.mono-project.com,mono,monodevelop,2660
jenkins.mono-project.com,xamarin,xamarin-android,1601
feeds.dev.azure.com,Humanizr,Humanizer,6093
feeds.dev.azure.com,Dotnet-Boxed,Templates,2721
feeds.dev.azure.com,fluentmigrator,fluentmigrator,2549
feeds.dev.azure.com,PomeloFoundation,Pomelo.EntityFrameworkCore.MySql,1998
readthedocs.org,OrchardCMS,OrchardCore,5231
readthedocs.org,SciSharp,TensorFlow.NET,1994
readthedocs.org,DbUp,DbUp,1529
readthedocs.org,Nethereum,Nethereum,1297
readthedocs.org,SciSharp,BotSharp,1178
readthedocs.org,Invoke-IR,PowerForensics,1100
readthedocs.org,TestStack,White,1004
azpkgsshield.azurevoodoo.net,reactiveui,refit,5188
azpkgsshield.azurevoodoo.net,dotnet,reactive,5033
azpkgsshield.azurevoodoo.net,cake-build,cake,2988
codescene.io,ThreeMammals,Ocelot,6374
codescene.io,gitextensions,gitextensions,5749
travis-ci.com,nopSolutions,nopCommerce,6439
travis-ci.com,TheAlgorithms,C-Sharp,2701
travis-ci.com,nsubstitute,NSubstitute,1585
travis-ci.com,qmlnet,qmlnet,1213
www.codetriage.com,opserver,Opserver,4092
www.codetriage.com,cake-build,cake,2988
www.codetriage.com,ClosedXML,ClosedXML,2578
www.codetriage.com,code-cracker,code-cracker,1060
ci.volosoft.com,aspnetboilerplate,aspnetboilerplate,9716
www.pollytalk.org,App-vNext,Polly,9444
app.fossa.com,studyzy,imewlconverter,4159
app.fossa.com,dotnetcore,WTM,3137
app.fossa.com,rnwood,smtp4dev,1439
img.youtube.com,gitextensions,gitextensions,5749
img.youtube.com,blazorhero,CleanArchitecture,1679
img.youtube.com,Nethereum,Nethereum,1297
scan.coverity.com,jstedfast,MailKit,4198
scan.coverity.com,libgit2,libgit2sharp,2381
scan.coverity.com,jstedfast,MimeKit,1281
teamcity.monogame.net,MonoGame,MonoGame,7634
rawcdn.githack.com,chocolatey,choco,7589
www.openhub.net,chocolatey,choco,7589
slack.nancyfx.org,NancyFx,Nancy,7140
mysenparc.visualstudio.com,JeffreySu,WeiXinMPSDK,6897
sdk.weixin.senparc.com,JeffreySu,WeiXinMPSDK,6897
starcharts.herokuapp.com,JeffreySu,WeiXinMPSDK,6897
upload-images.jianshu.io,Jimmey-Jiang,Common.Utility,3987
upload-images.jianshu.io,ferventdesert,Hawk,2872
hangfire.io,HangfireIO,Hangfire,6836
travis-matrix-badges.herokuapp.com,dotnet,BenchmarkDotNet,6708
www.nopcommerce.com,nopSolutions,nopCommerce,6439
starchart.cc,HandyOrg,HandyControl,2950
starchart.cc,liangxiegame,QFramework,2123
starchart.cc,dotnetcore,Magicodes.IE,1341
www.bountysource.com,duplicati,duplicati,6327
mathewsachin.github.io,MathewSachin,Captura,6245
gitee.com,SteamTools-Team,SteamTools,3196
gitee.com,HandyOrg,HandyControl,2950
www.myget.org,autofac,Autofac,3561
www.myget.org,codebude,QRCoder,2529
repology.org,carlospolop,PEASS-ng,5912
www.plantuml.com,kgrzybek,modular-monolith-with-ddd,5579
translate.servarr.com,Radarr,Radarr,5314
nilaoda.github.io,nilaoda,N_m3u8DL-CLI,5290
cdn.quantconnect.com,QuantConnect,Lean,5263
api-prd.cloudsmith.io,OrchardCMS,OrchardCore,5231
gitpod.io,unoplatform,uno,5045
cap.dotnetcore.xyz,dotnetcore,CAP,4949
ga-beacon.appspot.com,nissl-lab,npoi,3817
ga-beacon.appspot.com,unosquare,embedio,1076
sourcerer.io,JasonStein,Notepads,4845
contributors-img.web.app,exceptionless,Exceptionless,2055
contributors-img.web.app,FoundatioFx,Foundatio,1419
contributors-img.web.app,open-telemetry,opentelemetry-dotnet,1289
serilog.net,serilog,serilog,4696
open.vscode.dev,autofac,Autofac,3561
open.vscode.dev,microsoft,coyote,1078
dansiegelgithubsponsors.blob.core.windows.net,PrismLibrary,Prism,4636
docs.microsoft.com,microsoft,MixedRealityToolkit-Unity,4609
codingflow.visualstudio.com,jasontaylordev,NorthwindTraders,4499
images.gotowebinar.com,RicoSuter,NSwag,4480
vsrm.dev.azure.com,CommunityToolkit,WindowsCommunityToolkit,4347
win-acme.com,win-acme,win-acme,4170
tokei.rs,studyzy,imewlconverter,4159
zenodo.org,accord-net,framework,4110
api.flattr.com,accord-net,framework,4110
www.osnews.com,thangchung,clean-code-dotnet,4034
via.placeholder.com,chromelyapps,Chromely,2636
via.placeholder.com,1y0n,AV_Evasion_Tool,1207
cla-assistant.io,AngleSharp,AngleSharp,3820
badges.guardrails.io,TheAlgorithms,C-Sharp,2701
badges.guardrails.io,dwmkerr,sharpshell,1054
avatars2.githubusercontent.com,MassTransit,MassTransit,3726
www.donet5.com,donet5,SqlSugar,3546
gw.alipayobjects.com,ant-design-blazor,ant-design-blazor,3509
umbraco.visualstudio.com,umbraco,Umbraco-CMS,3379
simplcommerce.visualstudio.com,simplcommerce,SimplCommerce,3348
socialify.git.ci,shimat,opencvsharp,3293
stride3d.net,stride3d,stride,3254
cdn.akamai.steamstatic.com,Codeusa,Borderless-Gaming,3248
githubbadges.com,anjoy8,Blog.Core,3247
img.neters.club,anjoy8,Blog.Core,3247
mybinder.org,SciSharp,TensorFlow.NET,1994
mybinder.org,dotnet,interactive,1242
discord.com,discord-net,Discord.Net,2040
discord.com,Revolutionary-Games,Thrive,1044
app.bitrise.io,cake-build,cake,2988
cakebitbucketpipelinesshield.azurewebsites.net,cake-build,cake,2988
gameframework.cn,EllanJiang,GameFramework,2965
builtwithdot.net,jamesmh,coravel,1830
builtwithdot.net,unosquare,embedio,1076
dl.dropboxusercontent.com,MediaBrowser,Emby,2882
www.paypal.com,micjahn,ZXing.Net,1729
www.paypal.com,obfuscar,obfuscar,1144
office.visualstudio.com,OfficeDev,Open-XML-SDK,2836
sscms.visualstudio.com,siteserver,cms,2795
sscms.com,siteserver,cms,2795
docfx.visualstudio.com,dotnet,docfx,2725
ceapex.visualstudio.com,dotnet,docfx,2725
docascode.visualstudio.com,dotnet,docfx,2725
k8gege.github.io,k8gege,Ladon,2625
img-blog.csdnimg.cn,k8gege,Ladon,2625
chillicream.com,ChilliCream,hotchocolate,2554
www.zkea.net,SeriaWei,ZKEACMS,2530
i.giphy.com,keijiro,Skinner,2474
68.media.tumblr.com,keijiro,Skinner,2474
azure-sdk-impressions.azurewebsites.net,Azure,azure-sdk-for-net,2473
firstfloorsoftware.com,firstfloorsoftware,mui,2453
oxyplot.github.io,oxyplot,oxyplot,2343
issuestats.com,scriptcs,scriptcs,2314
www.jetbrains.com,zeromq,netmq,2267
speed.bridge.net,bridgedotnet,Bridge,2248
www.fakesmilerevolution.com,Franiac,TwitchLeecher,2218
servicestack.net,ServiceStack,ServiceStack.Redis,2185
drewdevault.com,ddevault,TrueCraft,2136
sr.ht,ddevault,TrueCraft,2136
f.cl.ly,reactiveui,Akavache,2120
microsoft.visualstudio.com,microsoft,aspnet-api-versioning,2058
nunit.visualstudio.com,nunit,nunit,2053
winappstudio.visualstudio.com,microsoft,WindowsTemplateStudio,2015
wtsrepository.blob.core.windows.net,microsoft,WindowsTemplateStudio,2015
www.jocys.com,x360ce,x360ce,1961
aoa.blob.core.windows.net,benaadams,Ben.Demystifier,1933
npenightly.blob.core.windows.net,NuGetPackageExplorer,NuGetPackageExplorer,1873
iolevel.visualstudio.com,peachpiecompiler,peachpie,1863
api.netlify.com,jamesmh,coravel,1830
cdn-images-1.medium.com,wolfgarbe,SymSpell,1822
avatars1.githubusercontent.com,sprache,Sprache,1799
rbsoft.org,ravibpatel,AutoUpdater.NET,1767
specflow.vsrm.visualstudio.com,SpecFlowOSS,SpecFlow,1756
bernhardrichter.visualstudio.com,filipw,dotnet-script,1742
sharml.visualstudio.com,loic-sharma,BaGet,1724
a.fsdn.com,mafaca,UtinyRipper,1701
upload.wikimedia.org,MapsterMapper,Mapster,1694
fs1.directupload.net,filoe,cscore,1690
