GitHubProject,NuGetPreview,Stars,Scheme,Link
"[rebus-org/Rebus](https://www.github.com/rebus-org/Rebus#readme)","[Preview](https://dev.nugettest.org/packages/loic.rebus-org.Rebus?preview=1#show-readme-container)",1640,mailto,mailto:REDACTED
"[apache/lucenenet](https://www.github.com/apache/lucenenet#readme)","[Preview](https://dev.nugettest.org/packages/loic.apache.lucenenet?preview=1#show-readme-container)",1627,mailto,mailto:REDACTED
"[MetacoSA/NBitcoin](https://www.github.com/MetacoSA/NBitcoin#readme)","[Preview](https://dev.nugettest.org/packages/loic.MetacoSA.NBitcoin?preview=1#show-readme-container)",1586,mailto,mailto:REDACTED
"[Azure/azure-functions-host](https://www.github.com/Azure/azure-functions-host#readme)","[Preview](https://dev.nugettest.org/packages/loic.Azure.azure-functions-host?preview=1#show-readme-container)",1584,mailto,mailto:REDACTED
"[kwwwvagaa/NetWinformControl](https://www.github.com/kwwwvagaa/NetWinformControl#readme)","[Preview](https://dev.nugettest.org/packages/loic.kwwwvagaa.NetWinformControl?preview=1#show-readme-container)",1561,file,file://shang.qq.com/wpa/qunwpa%3Fidkey=6e08741ef16fe53bf0314c1c9e336c4f626047943a8b76bac062361bab6b4f8d
"[Syomus/ProceduralToolkit](https://www.github.com/Syomus/ProceduralToolkit#readme)","[Preview](https://dev.nugettest.org/packages/loic.Syomus.ProceduralToolkit?preview=1#show-readme-container)",1542,mailto,mailto:REDACTED
"[nxrighthere/UnrealCLR](https://www.github.com/nxrighthere/UnrealCLR#readme)","[Preview](https://dev.nugettest.org/packages/loic.nxrighthere.UnrealCLR?preview=1#show-readme-container)",1516,mailto,mailto:REDACTED
"[Tayx94/graphy](https://www.github.com/Tayx94/graphy#readme)","[Preview](https://dev.nugettest.org/packages/loic.Tayx94.graphy?preview=1#show-readme-container)",1443,mailto,mailto:REDACTED
"[lgsvl/simulator](https://www.github.com/lgsvl/simulator#readme)","[Preview](https://dev.nugettest.org/packages/loic.lgsvl.simulator?preview=1#show-readme-container)",1437,mailto,mailto:REDACTED
"[enkodellc/blazorboilerplate](https://www.github.com/enkodellc/blazorboilerplate#readme)","[Preview](https://dev.nugettest.org/packages/loic.enkodellc.blazorboilerplate?preview=1#show-readme-container)",1366,mailto,mailto:REDACTED
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://github.com/google-ar/arcore-unity-extensions
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://developers.google.com/ar/develop/unity/getting-started
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://developers.google.com/ar/reference/unity
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://github.com/google-ar/arcore-unity-sdk/releases
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://developers.google.com/terms/
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://play.google.com/store/apps/details%3Fid=com.google.ar.core
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://policies.google.com/privacy
"[google-ar/arcore-unity-sdk](https://www.github.com/google-ar/arcore-unity-sdk#readme)","[Preview](https://dev.nugettest.org/packages/loic.google-ar.arcore-unity-sdk?preview=1#show-readme-container)",1364,file,file://developers.google.com/ar/distribute/deprecation-policy
"[NuGet/NuGetGallery](https://www.github.com/NuGet/NuGetGallery#readme)","[Preview](https://dev.nugettest.org/packages/loic.NuGet.NuGetGallery?preview=1#show-readme-container)",1328,mailto,mailto:REDACTED
"[microsoftarchive/cqrs-journey](https://www.github.com/microsoftarchive/cqrs-journey#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoftarchive.cqrs-journey?preview=1#show-readme-container)",1259,mailto,mailto:REDACTED
"[amaneureka/AtomOS](https://www.github.com/amaneureka/AtomOS#readme)","[Preview](https://dev.nugettest.org/packages/loic.amaneureka.AtomOS?preview=1#show-readme-container)",1241,mailto,mailto:REDACTED
"[PowerShell/PSScriptAnalyzer](https://www.github.com/PowerShell/PSScriptAnalyzer#readme)","[Preview](https://dev.nugettest.org/packages/loic.PowerShell.PSScriptAnalyzer?preview=1#show-readme-container)",1222,mailto,mailto:REDACTED
"[Azure/iotedge](https://www.github.com/Azure/iotedge#readme)","[Preview](https://dev.nugettest.org/packages/loic.Azure.iotedge?preview=1#show-readme-container)",1207,mailto,mailto:REDACTED
"[microsoft/Trill](https://www.github.com/microsoft/Trill#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.Trill?preview=1#show-readme-container)",1142,mailto,mailto:REDACTED
"[Baseflow/LottieXamarin](https://www.github.com/Baseflow/LottieXamarin#readme)","[Preview](https://dev.nugettest.org/packages/loic.Baseflow.LottieXamarin?preview=1#show-readme-container)",1120,mailto,mailto:REDACTED
"[loklak/loklak_dotnet_api](https://www.github.com/loklak/loklak_dotnet_api#readme)","[Preview](https://dev.nugettest.org/packages/loic.loklak.loklak_dotnet_api?preview=1#show-readme-container)",1113,mailto,mailto:REDACTED
"[microsoft/coyote](https://www.github.com/microsoft/coyote#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.coyote?preview=1#show-readme-container)",1078,mailto,mailto:REDACTED
"[Depressurizer/Depressurizer](https://www.github.com/Depressurizer/Depressurizer#readme)","[Preview](https://dev.nugettest.org/packages/loic.Depressurizer.Depressurizer?preview=1#show-readme-container)",1038,mailto,mailto:REDACTED
"[microsoft/RulesEngine](https://www.github.com/microsoft/RulesEngine#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.RulesEngine?preview=1#show-readme-container)",1037,mailto,mailto:REDACTED
"[microsoft/VSSDK-Extensibility-Samples](https://www.github.com/microsoft/VSSDK-Extensibility-Samples#readme)","[Preview](https://dev.nugettest.org/packages/loic.microsoft.VSSDK-Extensibility-Samples?preview=1#show-readme-container)",1011,mailto,mailto:REDACTED
