Owner, Repository, Stars
"obfuscar", "obfuscar", 1144
"cedrozor", "myrtille", 1143
"microsoft", "Trill", 1142
"keijiro", "Kino", 1141
"lampo1024", "DncZeus", 1138
"sonicether", "SEGI", 1137
"ThePBone", "GalaxyBudsClient", 1137
"OmniSharp", "omnisharp-roslyn", 1135
"yingDev", "WGestures", 1135
"GlitchEnzo", "NuGetForUnity", 1133
"itext", "itextsharp", 1132
"webprofusion", "certify", 1131
"helix-toolkit", "helix-toolkit", 1130
"digimezzo", "dopamine-windows", 1128
"Jonno12345", "TileIconifier", 1127
"neil3d", "excel2json", 1125
"ArduPilot", "MissionPlanner", 1125
"cyanfish", "naps2", 1124
"gkngkc", "UnityStandaloneFileBrowser", 1121
"Baseflow", "LottieXamarin", 1120
"OPCFoundation", "UA-.NETStandard", 1120
"Unity-Technologies", "Graphics", 1120
"TeamSirenix", "odin-serializer", 1116
